UNITID,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTIN,RRFTIN,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTIN,RRPTIN,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,XSTUFACR,STUFACR 
106713,"R",126,"R",272,"R",46,"R",108,"R",1,"Z",0,"R",107,"R",80,"R",75,"R",2,"R",0,"Z",0,"R",2,"R",1,"R",50,"R",11
106795,"R",205,"R",625,"R",33,"R",192,"R",0,"R",0,"R",192,"R",154,"R",80,"R",86,"R",0,"R",0,"R",86,"R",37,"R",43,"R",18
106810,"R",84,"R",109,"R",77,"R",53,"R",0,"R",0,"R",53,"R",28,"R",53,"A",,"A",,"A",,"A",,"A",,"A",,"R",10
106829,"A",,"A",,"A",,"R",67,"R",0,"R",0,"R",67,"R",31,"R",46,"R",7,"R",0,"R",0,"R",7,"R",5,"R",71,"R",6
106883,"R",191,"R",248,"R",77,"R",202,"R",0,"R",0,"R",202,"R",108,"R",53,"R",46,"R",0,"R",0,"R",46,"R",22,"R",48,"R",14
106892,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",25
106908,"A",,"A",,"A",,"R",40,"R",0,"R",0,"R",40,"R",29,"R",73,"A",,"A",,"A",,"A",,"A",,"A",,"R",18
106980,"R",433,"R",746,"R",58,"R",387,"R",0,"R",0,"R",387,"R",211,"R",55,"R",92,"R",0,"R",0,"R",92,"R",33,"R",36,"R",20
106999,"R",261,"R",500,"R",52,"R",266,"R",0,"R",0,"R",266,"R",166,"R",62,"R",15,"R",0,"R",0,"R",15,"R",10,"R",67,"R",18
107044,"R",1013,"R",1209,"R",84,"R",990,"R",0,"R",0,"R",990,"R",814,"R",82,"R",2,"R",0,"Z",0,"R",2,"R",0,"R",0,"R",16
107071,"R",740,"R",974,"R",76,"R",758,"R",1,"Z",0,"R",757,"R",455,"R",60,"R",12,"R",0,"Z",0,"R",12,"R",1,"R",8,"R",16
